Date,Data,Price,Data_Change,Price_Change,Data_RollMean_3,Price_RollMean_3,Target_Price
2010-01-06,0.694,1182.25,-0.0050000000000000044,0.75,0.6976666666666667,1180.5833333333333,1186.75
2010-01-07,0.692,1186.75,-0.0020000000000000018,4.5,0.695,1183.5,1190.75
2010-01-08,0.691,1190.75,-0.0010000000000000009,4.0,0.6923333333333334,1186.5833333333333,1191.75
2010-01-11,0.689,1191.75,-0.0020000000000000018,1.0,0.6906666666666667,1189.75,1183.25
2010-01-12,0.685,1183.25,-0.0039999999999998925,-8.5,0.6883333333333334,1188.5833333333333,1190.75
2010-01-13,0.684,1190.75,-0.0010000000000000009,7.5,0.6859999999999999,1188.5833333333333,1194.5
2010-01-14,0.682,1194.5,-0.0020000000000000018,3.75,0.6836666666666668,1189.5,1181.5
2010-01-15,0.68,1181.5,-0.0020000000000000018,-13.0,0.682,1188.9166666666667,1195.0
2010-01-19,0.675,1195.0,-0.0050000000000000044,13.5,0.6789999999999999,1190.3333333333333,1183.25
2010-01-20,0.674,1183.25,-0.0010000000000000009,-11.75,0.6763333333333335,1186.5833333333333,1160.25
2010-01-21,0.672,1160.25,-0.0020000000000000018,-23.0,0.6736666666666666,1179.5,1140.25
2010-01-22,0.67,1140.25,-0.0020000000000000018,-20.0,0.672,1161.25,1141.75
2010-01-25,0.669,1141.75,-0.0010000000000000009,1.5,0.6703333333333333,1147.4166666666667,1136.5
2010-01-26,0.667,1136.5,-0.0020000000000000018,-5.25,0.6686666666666667,1139.5,1143.75
2010-01-27,0.665,1143.75,-0.0020000000000000018,7.25,0.6670000000000001,1140.6666666666667,1128.5
2010-01-28,0.665,1128.5,0.0,-15.25,0.6656666666666667,1136.25,1119.75
2010-01-29,0.665,1119.75,0.0,-8.75,0.665,1130.6666666666667,1135.5
2010-02-01,0.665,1135.5,0.0,15.75,0.665,1127.9166666666667,1146.5
2010-02-02,0.665,1146.5,0.0,11.0,0.665,1133.9166666666667,1145.75
2010-02-03,0.665,1145.75,0.0,-0.75,0.665,1142.5833333333333,1111.0
2010-02-04,0.665,1111.0,0.0,-34.75,0.665,1134.4166666666667,1109.0
2010-02-05,0.663,1109.0,-0.0020000000000000018,-2.0,0.6643333333333333,1121.9166666666667,1105.25
2010-02-08,0.661,1105.25,-0.0020000000000000018,-3.75,0.6629999999999999,1108.4166666666667,1115.5
2010-02-09,0.661,1115.5,0.0,10.25,0.6616666666666666,1109.9166666666667,1112.5
2010-02-10,0.662,1112.5,0.0010000000000000009,-3.0,0.6613333333333334,1111.0833333333333,1125.85
2010-02-11,0.662,1125.85,0.0,13.349999999999909,0.6616666666666666,1117.95,1128.25
2010-02-12,0.663,1128.25,0.0010000000000000009,2.400000000000091,0.6623333333333333,1122.2,1142.5
2010-02-16,0.663,1142.5,0.0,14.25,0.6626666666666666,1132.2,1148.75
